user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
R_8SbPOFs6Gnm9umd,1_wayne_0_4_4,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8SbPOFs6Gnm9umd,3_solomon_0_111_111,adapter,EMAGE,tie,False,"[""UnrealisticMotion""]",
R_82wPZYmgqPZGBET,11_nidal_0_3_3,EMAGE,adapter,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_82wPZYmgqPZGBET,11_nidal_0_81_81,EMAGE,BEAT2,model_b,False,"[""MotionSmoothness""]",
R_82wPZYmgqPZGBET,2_scott_0_2_2,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness""]",
R_82wPZYmgqPZGBET,5_stewart_0_7_7,adapter,EMAGE,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",Left to symmetrical
R_82wPZYmgqPZGBET,3_solomon_0_111_111,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_82wPZYmgqPZGBET,23_hailing_0_81_81,adapter,BEAT2,model_b,True,"[""AmountIntensityOfMotion""]",
R_8fozwionl59VQh3,2_scott_0_111_111,BEAT2,adapter,model_a,True,"[""MotionSmoothness""]",
R_8fozwionl59VQh3,27_yingqing_0_1_1,BEAT2,adapter,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8fozwionl59VQh3,2_scott_0_1_1,EMAGE,BEAT2,tie,False,"[""AmountIntensityOfMotion""]",
R_8fozwionl59VQh3,3_solomon_0_4_4,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness""]",
R_8fozwionl59VQh3,23_hailing_0_103_103,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8fozwionl59VQh3,10_kieks_0_5_5,EMAGE,adapter,model_a,True,"[""MotionSmoothness""]",
R_8TQWQrNijw9LQrq,6_carla_0_73_73,EMAGE,BEAT2,model_b,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8TQWQrNijw9LQrq,2_scott_0_111_111,EMAGE,adapter,tie,False,"[""RecognisableGestures""]",
R_8TQWQrNijw9LQrq,11_nidal_0_73_73,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8TQWQrNijw9LQrq,2_scott_0_3_3,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8TQWQrNijw9LQrq,5_stewart_0_103_103,BEAT2,EMAGE,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8TQWQrNijw9LQrq,22_luqi_0_87_87,BEAT2,adapter,model_b,False,"[""UnrealisticMotion"", ""RecognisableGestures""]",
R_2FIPBz6hslGRi2Q,4_lawrence_0_65_65,BEAT2,adapter,model_a,False,"[""RecognisableGestures""]",
R_2FIPBz6hslGRi2Q,2_scott_0_2_2,BEAT2,adapter,model_a,True,"[""UnrealisticMotion""]",
R_2FIPBz6hslGRi2Q,7_sophie_0_111_111,adapter,EMAGE,model_b,True,"[""AmountIntensityOfMotion""]",
R_2FIPBz6hslGRi2Q,10_kieks_0_5_5,BEAT2,EMAGE,model_b,False,[],Synchroon bewegen van links en rechts komt voor mij minder realistisch over
R_2FIPBz6hslGRi2Q,28_tiffnay_0_65_65,EMAGE,adapter,model_a,True,"[""AmountIntensityOfMotion""]",
R_2FIPBz6hslGRi2Q,23_hailing_0_81_81,BEAT2,EMAGE,model_a,False,"[""RecognisableGestures""]",
R_8TBgFw0lyChInbJ,11_nidal_0_3_3,BEAT2,EMAGE,tie,False,"[""MotionSmoothness"", ""RecognisableGestures""]",Beide vrij realistisch 
R_8TBgFw0lyChInbJ,22_luqi_0_87_87,BEAT2,EMAGE,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8TBgFw0lyChInbJ,28_tiffnay_0_2_2,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",Rechts meer afwisseling in de bewegingen. Links alle bewegingen in hetzelfde gebied
R_8TBgFw0lyChInbJ,16_jorge_0_2_2,BEAT2,EMAGE,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",Links staat d man zo gek te wiebelen
R_8TBgFw0lyChInbJ,27_yingqing_0_1_1,adapter,EMAGE,tie,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8TBgFw0lyChInbJ,5_stewart_0_103_103,EMAGE,adapter,model_a,True,"[""UnrealisticMotion""]",Rechts staat de man doodstil en vrieskoud met handen
R_2ni0aXra6SOHwCV,6_carla_0_87_87,adapter,EMAGE,tie,False,[],"Left image has very similar movements l/r, almost like a mirror/robot. Right image is articulating wildly but unsure if thats good since I dont hear the message."
R_2ni0aXra6SOHwCV,6_carla_0_65_65,adapter,BEAT2,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",Again left was too symmetrical for me.
R_2ni0aXra6SOHwCV,3_solomon_0_5_5,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2ni0aXra6SOHwCV,7_sophie_0_65_65,BEAT2,EMAGE,tie,False,[],Bit ofa weird posture/view angle.
R_2ni0aXra6SOHwCV,7_sophie_0_111_111,BEAT2,EMAGE,model_a,False,"[""UnrealisticMotion"", ""MotionSmoothness""]",
R_2ni0aXra6SOHwCV,1_wayne_0_3_3,BEAT2,EMAGE,model_a,False,"[""UnrealisticMotion"", ""MotionSmoothness""]",
R_2OBmo24LF3euloi,7_sophie_0_111_111,BEAT2,adapter,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_2OBmo24LF3euloi,1_wayne_0_4_4,EMAGE,adapter,model_b,True,"[""AmountIntensityOfMotion""]",Looking more decisive
R_2OBmo24LF3euloi,1_wayne_0_73_73,EMAGE,adapter,model_a,True,[], Variation in gestures
R_2OBmo24LF3euloi,1_wayne_0_65_65,EMAGE,BEAT2,tie,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2OBmo24LF3euloi,3_solomon_0_2_2,BEAT2,EMAGE,tie,False,[],Both looking helpless and erratic 
R_2OBmo24LF3euloi,2_scott_0_7_7,adapter,EMAGE,model_a,False,"[""MotionSmoothness""]",
R_2n01UPCxszn6dSw,1_wayne_0_73_73,BEAT2,adapter,model_b,False,"[""MotionSmoothness""]",
R_2n01UPCxszn6dSw,5_stewart_0_65_65,adapter,BEAT2,model_a,True,"[""MotionSmoothness""]",
R_2n01UPCxszn6dSw,23_hailing_0_103_103,adapter,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",
R_2n01UPCxszn6dSw,6_carla_0_103_103,BEAT2,adapter,model_a,True,"[""MotionSmoothness""]",
R_2n01UPCxszn6dSw,23_hailing_0_81_81,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2n01UPCxszn6dSw,16_jorge_0_1_1,EMAGE,adapter,model_b,False,"[""MotionSmoothness""]",
R_2QgCZBHds7AteBT,2_scott_0_111_111,EMAGE,BEAT2,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2QgCZBHds7AteBT,1_wayne_0_73_73,BEAT2,EMAGE,tie,False,[],beide onnatuurlijk
R_2QgCZBHds7AteBT,28_tiffnay_0_2_2,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2QgCZBHds7AteBT,28_tiffnay_0_65_65,BEAT2,adapter,tie,False,[],beide onnatuurlijk
R_2QgCZBHds7AteBT,23_hailing_0_111_111,EMAGE,adapter,model_b,False,[],
R_2QgCZBHds7AteBT,28_tiffnay_0_81_81,adapter,BEAT2,model_b,False,[],
R_2oEEOSROkAM54aK,27_yingqing_0_73_73,BEAT2,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2oEEOSROkAM54aK,10_kieks_0_8_8,BEAT2,EMAGE,model_b,False,"[""RecognisableGestures""]",
R_2oEEOSROkAM54aK,7_sophie_0_73_73,EMAGE,adapter,model_a,True,"[""RecognisableGestures""]",
R_2oEEOSROkAM54aK,11_nidal_0_111_111,EMAGE,BEAT2,model_b,False,"[""MotionSmoothness""]",
R_2oEEOSROkAM54aK,5_stewart_0_8_8,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness""]",
R_2oEEOSROkAM54aK,16_jorge_0_65_65,BEAT2,adapter,model_b,False,"[""MotionSmoothness""]",
